commodity,market,date,price,lag_1,lag_2,lag_3,rolling_3,month
Beans,Ampara,2023-09-15,406.67,446.67,502.0,495.0,481.22333333333336,9
Beans,Ampara,2023-10-15,492.0,406.67,446.67,502.0,451.78000000000003,10
Beans,Ampara,2023-11-15,576.67,492.0,406.67,446.67,448.4466666666667,11
Beans,Ampara,2023-12-15,693.33,576.67,492.0,406.67,491.78,12
Beans,Ampara,2024-01-15,934.67,693.33,576.67,492.0,587.3333333333334,1
Beans,Ampara,2024-02-15,728.33,934.67,693.33,576.67,734.89,2
Beans,Ampara,2024-03-15,363.33,728.33,934.67,693.33,785.4433333333333,3
Beans,Ampara,2024-04-15,245.33,363.33,728.33,934.67,675.4433333333334,4
Beans,Ampara,2024-05-15,519.17,245.33,363.33,728.33,445.66333333333336,5
Beans,Ampara,2024-06-15,519.17,519.17,245.33,363.33,375.9433333333333,6
Beans,Ampara,2024-07-15,667.5,519.17,519.17,245.33,427.89000000000004,7
Beans,Ampara,2024-08-15,502.08,667.5,519.17,519.17,568.6133333333332,8
Beans,Ampara,2024-09-15,339.33,502.08,667.5,519.17,562.9166666666666,9
Beans,Ampara,2024-10-15,466.67,339.33,502.08,667.5,502.96999999999997,10
Beans,Ampara,2024-11-15,518.33,466.67,339.33,502.08,436.02666666666664,11
Beans,Ampara,2024-12-15,590.0,518.33,466.67,339.33,441.4433333333334,12
Beans,Ampara,2025-01-15,493.75,590.0,518.33,466.67,525.0,1
Beans,Ampara,2025-02-15,495.0,493.75,590.0,518.33,534.0266666666666,2
Beans,Ampara,2025-03-15,548.0,495.0,493.75,590.0,526.25,3
Beans,Ampara,2025-04-15,617.78,548.0,495.0,493.75,512.25,4
Beans,Ampara,2025-05-15,577.5,617.78,548.0,495.0,553.5933333333334,5
Beans,Ampara,2025-06-15,596.67,577.5,617.78,548.0,581.0933333333334,6
Beans,Ampara,2025-07-15,555.83,596.67,577.5,617.78,597.3166666666667,7
Beans,Ampara,2025-08-15,635.83,555.83,596.67,577.5,576.6666666666666,8
Beans,Ampara,2025-09-15,441.33,635.83,555.83,596.67,596.11,9
Beans,Anuradhapura,2023-09-15,472.0,485.0,531.2,510.0,508.73333333333335,9
Beans,Anuradhapura,2023-10-15,527.2,472.0,485.0,531.2,496.06666666666666,10
Beans,Anuradhapura,2023-11-15,595.0,527.2,472.0,485.0,494.73333333333335,11
Beans,Anuradhapura,2023-12-15,638.0,595.0,527.2,472.0,531.4,12
Beans,Anuradhapura,2024-01-15,875.2,638.0,595.0,527.2,586.7333333333333,1
Beans,Anuradhapura,2024-02-15,739.0,875.2,638.0,595.0,702.7333333333332,2
Beans,Anuradhapura,2024-03-15,428.0,739.0,875.2,638.0,750.7333333333332,3
Beans,Anuradhapura,2024-04-15,272.8,428.0,739.0,875.2,680.7333333333333,4
Beans,Anuradhapura,2024-05-15,506.0,272.8,428.0,739.0,479.93333333333334,5
Beans,Anuradhapura,2024-06-15,752.0,506.0,272.8,428.0,402.26666666666665,6
Beans,Anuradhapura,2024-07-15,727.2,752.0,506.0,272.8,510.26666666666665,7
Beans,Anuradhapura,2024-08-15,561.0,727.2,752.0,506.0,661.7333333333333,8
Beans,Anuradhapura,2024-09-15,419.2,561.0,727.2,752.0,680.0666666666667,9
Beans,Anuradhapura,2024-10-15,506.0,419.2,561.0,727.2,569.1333333333333,10
Beans,Anuradhapura,2024-11-15,523.0,506.0,419.2,561.0,495.40000000000003,11
Beans,Anuradhapura,2024-12-15,621.6,523.0,506.0,419.2,482.73333333333335,12
Beans,Anuradhapura,2025-01-15,546.0,621.6,523.0,506.0,550.1999999999999,1
Beans,Anuradhapura,2025-02-15,548.0,546.0,621.6,523.0,563.5333333333333,2
Beans,Anuradhapura,2025-03-15,632.0,548.0,546.0,621.6,571.8666666666667,3
Beans,Anuradhapura,2025-04-15,652.0,632.0,548.0,546.0,575.3333333333334,4
Beans,Anuradhapura,2025-05-15,624.0,652.0,632.0,548.0,610.6666666666666,5
Beans,Anuradhapura,2025-06-15,682.4,624.0,652.0,632.0,636.0,6
Beans,Anuradhapura,2025-07-15,633.0,682.4,624.0,652.0,652.8000000000001,7
Beans,Anuradhapura,2025-08-15,749.0,633.0,682.4,624.0,646.4666666666667,8
Beans,Anuradhapura,2025-09-15,511.2,749.0,633.0,682.4,688.1333333333333,9
Beans,Badulla,2023-09-15,408.0,433.0,481.6,491.0,468.5333333333333,9
Beans,Badulla,2023-10-15,498.4,408.0,433.0,481.6,440.8666666666666,10
Beans,Badulla,2023-11-15,521.0,498.4,408.0,433.0,446.4666666666667,11
Beans,Badulla,2023-12-15,667.0,521.0,498.4,408.0,475.8,12
Beans,Badulla,2024-01-15,1180.0,667.0,521.0,498.4,562.1333333333333,1
Beans,Badulla,2024-02-15,709.0,1180.0,667.0,521.0,789.3333333333334,2
Beans,Badulla,2024-03-15,310.5,709.0,1180.0,667.0,852.0,3
Beans,Badulla,2024-04-15,168.4,310.5,709.0,1180.0,733.1666666666666,4
Beans,Badulla,2024-05-15,441.25,168.4,310.5,709.0,395.9666666666667,5
Beans,Badulla,2024-06-15,535.42,441.25,168.4,310.5,306.71666666666664,6
Beans,Badulla,2024-07-15,742.5,535.42,441.25,168.4,381.69,7
Beans,Badulla,2024-08-15,457.08,742.5,535.42,441.25,573.0566666666667,8
Beans,Badulla,2024-09-15,350.0,457.08,742.5,535.42,578.3333333333334,9
Beans,Badulla,2024-10-15,417.0,350.0,457.08,742.5,516.5266666666666,10
Beans,Badulla,2024-11-15,429.0,417.0,350.0,457.08,408.02666666666664,11
Beans,Badulla,2024-12-15,560.9,429.0,417.0,350.0,398.6666666666667,12
Beans,Badulla,2025-01-15,492.12,560.9,429.0,417.0,468.9666666666667,1
Beans,Badulla,2025-02-15,660.0,492.12,560.9,429.0,494.00666666666666,2
Beans,Badulla,2025-03-15,617.5,660.0,492.12,560.9,571.0066666666667,3
Beans,Badulla,2025-04-15,548.33,617.5,660.0,492.12,589.8733333333333,4
Beans,Badulla,2025-05-15,440.0,548.33,617.5,660.0,608.61,5
Beans,Badulla,2025-06-15,554.33,440.0,548.33,617.5,535.2766666666666,6
Beans,Badulla,2025-07-15,561.25,554.33,440.0,548.33,514.22,7
Beans,Badulla,2025-08-15,581.25,561.25,554.33,440.0,518.5266666666666,8
Beans,Badulla,2025-09-15,420.0,581.25,561.25,554.33,565.61,9
Beans,Batticaloa,2023-09-15,469.86,553.0,538.0,576.5,555.8333333333334,9
Beans,Batticaloa,2023-10-15,540.8,469.86,553.0,538.0,520.2866666666667,10
Beans,Batticaloa,2023-11-15,581.0,540.8,469.86,553.0,521.2199999999999,11
Beans,Batticaloa,2023-12-15,686.21,581.0,540.8,469.86,530.5533333333333,12
Beans,Batticaloa,2024-01-15,1010.65,686.21,581.0,540.8,602.67,1
Beans,Batticaloa,2024-02-15,776.12,1010.65,686.21,581.0,759.2866666666667,2
Beans,Batticaloa,2024-03-15,484.29,776.12,1010.65,686.21,824.3266666666667,3
Beans,Batticaloa,2024-04-15,264.05,484.29,776.12,1010.65,757.02,4
Beans,Batticaloa,2024-05-15,507.5,264.05,484.29,776.12,508.15333333333336,5
Beans,Batticaloa,2024-06-15,507.5,507.5,264.05,484.29,418.6133333333334,6
Beans,Batticaloa,2024-07-15,746.89,507.5,507.5,264.05,426.3500000000001,7
Beans,Batticaloa,2024-08-15,637.75,746.89,507.5,507.5,587.2966666666666,8
Beans,Batticaloa,2024-12-15,452.67,637.75,746.89,507.5,630.7133333333333,12
Beans,Batticaloa,2025-01-15,527.5,452.67,637.75,746.89,612.4366666666666,1
Beans,Batticaloa,2025-02-15,457.5,527.5,452.67,637.75,539.3066666666667,2
Beans,Batticaloa,2025-03-15,550.0,457.5,527.5,452.67,479.22333333333336,3
Beans,Batticaloa,2025-04-15,562.5,550.0,457.5,527.5,511.6666666666667,4
Beans,Batticaloa,2025-06-15,585.5,562.5,550.0,457.5,523.3333333333334,6
Beans,Batticaloa,2025-07-15,535.83,585.5,562.5,550.0,566.0,7
Beans,Batticaloa,2025-08-15,634.64,535.83,585.5,562.5,561.2766666666666,8
Beans,Batticaloa,2025-09-15,478.0,634.64,535.83,585.5,585.3233333333333,9
Beans,Colombo City,2023-09-15,440.82,420.3,485.05,500.96,468.77,9
Beans,Colombo City,2023-10-15,518.06,440.82,420.3,485.05,448.72333333333336,10
Beans,Colombo City,2023-11-15,568.2,518.06,440.82,420.3,459.72666666666663,11
Beans,Colombo City,2023-12-15,666.65,568.2,518.06,440.82,509.02666666666664,12
Beans,Colombo City,2024-01-15,878.6,666.65,568.2,518.06,584.3033333333333,1
Beans,Colombo City,2024-02-15,692.34,878.6,666.65,568.2,704.4833333333332,2
Beans,Colombo City,2024-03-15,407.52,692.34,878.6,666.65,745.8633333333333,3
Beans,Colombo City,2024-04-15,256.43,407.52,692.34,878.6,659.4866666666667,4
Beans,Colombo City,2024-05-15,518.34,256.43,407.52,692.34,452.09666666666675,5
Beans,Colombo City,2024-06-15,651.11,518.34,256.43,407.52,394.09666666666664,6
Beans,Colombo City,2024-07-15,702.36,651.11,518.34,256.43,475.29333333333335,7
Beans,Colombo City,2024-08-15,449.22,702.36,651.11,518.34,623.9366666666666,8
Beans,Colombo City,2024-09-15,328.46,449.22,702.36,651.11,600.8966666666666,9
Beans,Colombo City,2024-10-15,439.99,328.46,449.22,702.36,493.34666666666664,10
Beans,Colombo City,2024-11-15,455.95,439.99,328.46,449.22,405.89000000000004,11
Beans,Colombo City,2024-12-15,624.4,455.95,439.99,328.46,408.1333333333334,12
Beans,Colombo City,2025-01-15,484.33,624.4,455.95,439.99,506.78,1
Beans,Colombo City,2025-02-15,513.82,484.33,624.4,455.95,521.56,2
Beans,Colombo City,2025-03-15,551.48,513.82,484.33,624.4,540.85,3
Beans,Colombo City,2025-04-15,666.52,551.48,513.82,484.33,516.5433333333334,4
Beans,Colombo City,2025-05-15,571.89,666.52,551.48,513.82,577.2733333333334,5
Beans,Colombo City,2025-06-15,625.21,571.89,666.52,551.48,596.63,6
Beans,Colombo City,2025-07-15,592.51,625.21,571.89,666.52,621.2066666666666,7
Beans,Colombo City,2025-08-15,609.3,592.51,625.21,571.89,596.5366666666667,8
Beans,Colombo City,2025-09-15,460.84,609.3,592.51,625.21,609.0066666666667,9
Beans,Galle,2023-09-15,436.0,432.67,509.07,516.67,486.1366666666666,9
Beans,Galle,2023-10-15,503.8,436.0,432.67,509.07,459.24666666666667,10
Beans,Galle,2023-11-15,630.0,503.8,436.0,432.67,457.49,11
Beans,Galle,2023-12-15,720.62,630.0,503.8,436.0,523.2666666666667,12
Beans,Galle,2024-01-15,1019.67,720.62,630.0,503.8,618.14,1
Beans,Galle,2024-02-15,713.75,1019.67,720.62,630.0,790.0966666666667,2
Beans,Galle,2024-03-15,320.42,713.75,1019.67,720.62,818.0133333333333,3
Beans,Galle,2024-04-15,233.75,320.42,713.75,1019.67,684.6133333333333,4
Beans,Galle,2024-05-15,452.08,233.75,320.42,713.75,422.64000000000004,5
Beans,Galle,2024-06-15,668.75,452.08,233.75,320.42,335.4166666666667,6
Beans,Galle,2024-07-15,769.0,668.75,452.08,233.75,451.52666666666664,7
Beans,Galle,2024-08-15,557.5,769.0,668.75,452.08,629.9433333333333,8
Beans,Galle,2024-09-15,393.0,557.5,769.0,668.75,665.0833333333334,9
Beans,Galle,2024-10-15,467.5,393.0,557.5,769.0,573.1666666666666,10
Beans,Galle,2024-11-15,390.0,467.5,393.0,557.5,472.6666666666667,11
Beans,Galle,2024-12-15,701.0,390.0,467.5,393.0,416.8333333333333,12
Beans,Galle,2025-01-15,552.5,701.0,390.0,467.5,519.5,1
Beans,Galle,2025-02-15,548.75,552.5,701.0,390.0,547.8333333333334,2
Beans,Galle,2025-03-15,590.67,548.75,552.5,701.0,600.75,3
Beans,Galle,2025-04-15,721.67,590.67,548.75,552.5,563.9733333333334,4
Beans,Galle,2025-05-15,661.88,721.67,590.67,548.75,620.3633333333333,5
Beans,Galle,2025-06-15,634.0,661.88,721.67,590.67,658.0733333333333,6
Beans,Galle,2025-07-15,628.75,634.0,661.88,721.67,672.5166666666665,7
Beans,Galle,2025-08-15,713.75,628.75,634.0,661.88,641.5433333333334,8
Beans,Galle,2025-09-15,499.0,713.75,628.75,634.0,658.8333333333334,9
Beans,Gampaha,2023-09-15,415.0,385.0,425.2,473.0,427.73333333333335,9
Beans,Gampaha,2023-10-15,476.87,415.0,385.0,425.2,408.40000000000003,10
Beans,Gampaha,2023-11-15,519.0,476.87,415.0,385.0,425.6233333333333,11
Beans,Gampaha,2023-12-15,621.25,519.0,476.87,415.0,470.28999999999996,12
Beans,Gampaha,2024-01-15,846.5,621.25,519.0,476.87,539.04,1
Beans,Gampaha,2024-02-15,720.0,846.5,621.25,519.0,662.25,2
Beans,Gampaha,2024-07-15,494.0,720.0,846.5,621.25,729.25,7
Beans,Gampaha,2024-08-15,472.38,494.0,720.0,846.5,686.8333333333334,8
Beans,Gampaha,2024-09-15,310.0,472.38,494.0,720.0,562.1266666666667,9
Beans,Gampaha,2024-10-15,422.5,310.0,472.38,494.0,425.46000000000004,10
Beans,Gampaha,2024-11-15,432.5,422.5,310.0,472.38,401.6266666666667,11
Beans,Gampaha,2024-12-15,646.67,432.5,422.5,310.0,388.3333333333333,12
Beans,Gampaha,2025-01-15,479.38,646.67,432.5,422.5,500.5566666666667,1
Beans,Gampaha,2025-02-15,504.58,479.38,646.67,432.5,519.5166666666667,2
Beans,Gampaha,2025-03-15,498.0,504.58,479.38,646.67,543.5433333333333,3
Beans,Gampaha,2025-04-15,600.0,498.0,504.58,479.38,493.9866666666667,4
Beans,Gampaha,2025-05-15,606.67,600.0,498.0,504.58,534.1933333333333,5
Beans,Gampaha,2025-06-15,604.0,606.67,600.0,498.0,568.2233333333334,6
Beans,Gampaha,2025-07-15,598.75,604.0,606.67,600.0,603.5566666666667,7
Beans,Gampaha,2025-08-15,665.0,598.75,604.0,606.67,603.14,8
Beans,Gampaha,2025-09-15,431.0,665.0,598.75,604.0,622.5833333333334,9
